"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4zaESy1RyCRl3nJFq7odm5","漩渦 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","spotify:album:0JxdqRAxtuuf9IOyYRyH14","漩渦 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","2023-01-20","https://i.scdn.co/image/ab67616d0000b2738cfe147a2344b503df54973e","1","1","244359","https://p.scdn.co/mp3-preview/2197701fee061042d5875f8fdc3566db4563adfa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","HKG882200020","","2024-05-18T01:54:34Z"
"spotify:track:0A2fKkuuZT27IOUeNvZkB5","How Long","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:2ajEgAzq6egCNqpzaIQt3S","Kurt Hugo Schneider, IAGO","spotify:album:29noaFImg9gyxMQRzptBQa","Kurt & Company Vol 6","spotify:artist:2BHswvFd8tMBizVWGcAMLm","Kurt Hugo Schneider","2018-03-18","https://i.scdn.co/image/ab67616d0000b273d91eb8f5ad4bd2c0c85fe210","1","6","152596","","false","0","GBDMT1700482","","2024-05-18T01:54:34Z"
"spotify:track:6RUCvd3VVM6CuLg2fxNlYi","There's Nothing Holdin' Me Back","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:1wKVHpiW6RvatS3wKFrLc6, spotify:artist:2kM1LxD0AhAE5GULSYRQSa","Kurt Hugo Schneider, Macy Kate, Will Champlin","spotify:album:51SIml4Jy6EcAJiihpEFTb","Kurt & Company Vol 3","spotify:artist:2BHswvFd8tMBizVWGcAMLm","Kurt Hugo Schneider","2017-07-25","https://i.scdn.co/image/ab67616d0000b273a3b3ec0deae67e1d8db81f6e","1","7","204098","","false","2","GBDMT1700282","","2024-05-18T01:54:34Z"
"spotify:track:4UHT4eYBm5xEfpZiDqGaYV","火鳥","spotify:artist:1rxk3vAYWeiBD2Q6FCezcl","楊千嬅","spotify:album:5vBlNsWb6xpDue03z2Fums","火鳥","spotify:artist:1rxk3vAYWeiBD2Q6FCezcl","楊千嬅","2012","https://i.scdn.co/image/ab67616d0000b2733685b7fd30904139df5bbb95","1","1","215240","https://p.scdn.co/mp3-preview/5972f8d346c3f0adfc183f7c41d06423c75790cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","HKE051100102","","2024-05-18T01:54:34Z"
"spotify:track:4RhLeGyrLuvDrQMJovMQE4","怯","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","spotify:album:5x9K6TbT889abjJBuFUI6m","怯","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","2019-09-27","https://i.scdn.co/image/ab67616d0000b273aee20c3d66afc0f74179f93c","1","1","199409","https://p.scdn.co/mp3-preview/e04218f44ef4b18bbca7a5e3277050b0e7573939?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","HKG881900007","","2024-05-18T01:54:34Z"
"spotify:track:4HX58dNIkwT3pLByfAw9JI","Lose You To Love Me","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:1YC5qgr5auMe2HyGmKc6HG, spotify:artist:7lPWuLostTtlIShgm4wpf0","Kurt Hugo Schneider, Allegra, Sam Tsui","spotify:album:5yTxgPy2uQLRAmH5dbE8Vo","Lose You To Love Me","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:1YC5qgr5auMe2HyGmKc6HG, spotify:artist:7lPWuLostTtlIShgm4wpf0","Kurt Hugo Schneider, Allegra, Sam Tsui","2019-11-04","https://i.scdn.co/image/ab67616d0000b2738d4dbe5806d31edb7ac19571","1","1","205194","","false","0","GBDMT1900297","","2024-05-18T01:54:34Z"
"spotify:track:5BAQ5U2qWPKecbDYtH7WUB","Can You Feel the Love Tonight","spotify:artist:26AHtbjWKiwYzsoGoUZq53","Pentatonix","spotify:album:06poQ7idFBLVrOIi18JlKo","Can You Feel the Love Tonight","spotify:artist:26AHtbjWKiwYzsoGoUZq53","Pentatonix","2019-07-18","https://i.scdn.co/image/ab67616d0000b27372f74faf23d053476c1ea16c","1","1","247225","https://p.scdn.co/mp3-preview/776be5dcb3b507a061bc9ac3d22a493eb4e08cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USRC11901974","","2024-05-18T01:54:33Z"
"spotify:track:57jgqH9etSfTvIJ7qYN1o5","到此為止","spotify:artist:5Uw3hCC51pNjdsD2MOs72K","連詩雅","spotify:album:2ORdOrqkSN1eSGs1rgX7De","到此為止","spotify:artist:5Uw3hCC51pNjdsD2MOs72K","連詩雅","2012-02-24","https://i.scdn.co/image/ab67616d0000b273642ad2b1d9cec988aacd5e17","1","1","261571","https://p.scdn.co/mp3-preview/a435d679bc35704ae7cbd5e8694ed42732f1ac67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","HKI491298101","","2024-05-18T01:54:33Z"
"spotify:track:50WeOnXhM1H7AZEeIDoWfZ","Show Yourself","spotify:artist:73Np75Wv2tju61Eo9Zw4IR, spotify:artist:3MyB0MyKec3Jq0AH2llk7v","Idina Menzel, Evan Rachel Wood","spotify:album:4M07HWIlZr7zoXoxDHR5mz","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","群星","2019-11-15","https://i.scdn.co/image/ab67616d0000b2735929af1edd645142df679910","1","7","260906","https://p.scdn.co/mp3-preview/e7cc35e7dc29c96189ad8f6f3c63ab5a226b4e3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWD11994671","","2024-05-18T01:54:33Z"
"spotify:track:4pmPTaPA5aiH5YRzVHhfoA","車匙","spotify:artist:1IDuSpntFl2Mutofvrrutc","陳柏宇","spotify:album:4V3w9TRRWgqXbt6Iijo9c2","First Experience","spotify:artist:1IDuSpntFl2Mutofvrrutc","陳柏宇","2007-05-03","https://i.scdn.co/image/ab67616d0000b2731e7b161401323fae8e6b1873","1","3","205506","https://p.scdn.co/mp3-preview/7c4b5afb9852e2aa3d75699d3ee2c986ec89da81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","HKA410600063","","2024-05-18T01:54:33Z"
